287,3279.38,-6.65,51.16,8.51
288,3369.94,-6.92,51.92,8.14
289,3308.44,-6.55,51.9,7.94
290,3369.08,-6.49,52.09,7.89
291,3368.35,-6.72,51.98,8.09
292,3401.27,-6.77,51.79,7.91
293,3398.57,-6.79,52.08,7.93
294,3393.91,-6.84,51.85,7.89
295,3310.94,-6.56,51.35,8.5
296,3362.63,-6.82,51.83,8.13
297,3303.53,-6.45,51.87,7.94
298,3371.55,-6.38,51.97,7.88
299,3366.89,-6.6,51.97,8.06
300,3407.23,-6.71,51.72,7.9
301,3400.56,-6.72,51.76,7.87
302,3350.53,-7.22,51.71,7.94
303,3308.03,-6.6,51.18,8.47
304,3371.14,-6.81,51.45,8.11
305,3322.75,-7.0,52.57,7.91
306,3402.16,-6.32,52.24,7.81
307,3384.42,-6.5,51.81,8.01
308,3391.65,-7.19,52.68,7.79
309,3398.16,-6.62,51.88,7.84
310,3403.73,-6.75,51.81,7.87
311,3295.18,-6.51,51.25,8.51
312,3363.18,-6.74,51.84,8.15
313,3309.91,-6.31,51.9,7.92
314,3369.38,-6.24,51.94,7.84
315,3376.75,-6.44,52.08,8.01
316,3401.2,-6.53,51.84,7.84
317,3387.53,-6.5,52.25,7.83
318,3391.81,-6.64,51.73,7.86
319,3295.78,-6.46,50.73,8.54
320,3366.57,-6.82,50.68,8.26
